GeneID	e125_1	e125_2	e125_3	e165_1	e165_2	e165_3	adult_1	adult_2	adult_3
ensmusg00000102693	0	0	0	0	0	0	0	0	0
ensmusg00000064842	0	0	0	0	1	1	0	0	0
ensmusg00000051951	57	49	67	224	174	437	152	181	70
ensmusg00000102851	0	0	0	0	0	0	0	0	0
ensmusg00000103377	9	0	2	6	3	9	3	4	7
ensmusg00000104017	6	1	1	22	13	8	1	1	1
ensmusg00000103025	0	0	3	3	0	1	0	4	5
ensmusg00000089699	0	0	0	0	0	0	0	0	0
ensmusg00000103201	1	0	2	10	0	0	0	0	1
ensmusg00000103147	0	0	0	0	0	0	0	0	0
ensmusg00000103161	6	0	3	26	3	20	2	9	4
ensmusg00000102331	6	0	1	13	0	8	0	6	1
ensmusg00000102348	0	0	0	0	0	0	7	8	3
ensmusg00000102592	0	0	0	0	0	0	0	0	0
ensmusg00000088333	0	0	0	0	0	0	0	0	0
ensmusg00000102343	0	0	0	0	0	0	0	0	0
ensmusg00000025900	4	1	2	84	11	30	131	166	98
ensmusg00000102948	0	0	0	0	0	0	1	0	9
ensmusg00000104123	0	0	0	0	0	0	0	0	0
ensmusg00000025902	8	15	8	2	2	3	8	1	1
ensmusg00000104238	0	0	0	0	0	0	0	0	0
ensmusg00000102269	0	0	0	0	0	0	3	0	0
ensmusg00000096126	0	3	3	0	0	1	3	0	0
ensmusg00000103003	0	0	0	0	0	0	0	0	0
ensmusg00000104328	2	0	1	6	0	0	1	0	0
ensmusg00000102735	0	0	0	0	0	0	0	0	1
ensmusg00000098104	8	7	36	16	12	13	17	10	8
ensmusg00000102175	0	0	0	5	0	0	0	0	0
ensmusg00000088000	0	0	0	0	0	0	0	0	0
ensmusg00000103265	0	1	2	1	0	0	0	5	0
ensmusg00000103922	1	2	1	3	0	0	0	0	0
ensmusg00000033845	451	590	720	362	375	604	385	408	390
ensmusg00000102275	3	0	2	1	0	0	6	0	5
ensmusg00000025903	181	189	292	164	195	228	220	282	202
ensmusg00000104217	0	0	0	0	0	0	0	0	0
ensmusg00000033813	516	693	840	432	459	843	538	721	648
ensmusg00000062588	15	27	34	13	6	24	14	3	2
ensmusg00000103280	31	14	45	16	6	21	14	17	8
ensmusg00000002459	448	288	524	73	111	305	64	69	42
ensmusg00000091305	0	0	2	0	3	0	0	0	0
ensmusg00000102653	7	1	7	0	0	3	0	4	1
ensmusg00000085623	2	1	0	0	2	0	0	0	1
ensmusg00000091665	0	0	0	0	0	0	5	1	0
ensmusg00000033793	658	761	911	697	575	1147	874	1179	669
ensmusg00000104352	0	0	0	0	0	0	0	0	1
ensmusg00000104046	0	0	0	0	0	0	0	0	0
ensmusg00000102907	1	0	0	0	0	0	0	0	0
ensmusg00000025905	10	5	21	203	20	85	315	343	219
ensmusg00000103936	0	0	0	0	0	0	0	0	0
ensmusg00000093015	0	0	0	0	0	0	0	0	0
ensmusg00000103519	0	0	0	0	0	0	0	0	0
ensmusg00000033774	3	1	0	0	0	5	0	0	7
ensmusg00000103090	0	0	0	0	0	0	0	0	0
ensmusg00000025907	1787	1253	1905	1376	1141	2419	1372	2066	1192
ensmusg00000090031	75	26	70	53	28	19	38	74	35
ensmusg00000087247	0	2	0	0	0	0	0	0	0
ensmusg00000103355	0	0	2	0	0	0	0	0	0
ensmusg00000102706	0	0	0	0	0	0	0	0	0
ensmusg00000103845	34	35	43	20	13	36	31	30	1
ensmusg00000033740	1153	1763	2431	813	1032	2470	698	716	494
ensmusg00000103329	0	0	0	0	3	0	0	0	0
ensmusg00000104385	0	1	0	0	0	0	0	0	0
ensmusg00000102135	2	6	11	1	2	5	1	6	5
ensmusg00000103282	0	0	0	0	0	0	0	0	0
ensmusg00000102534	0	1	0	0	0	0	0	0	0
ensmusg00000102213	0	0	0	0	0	0	0	0	0
ensmusg00000103629	0	0	0	0	0	0	0	0	0
ensmusg00000051285	868	491	951	1144	572	1376	1517	1807	1259
ensmusg00000098201	0	0	0	0	0	0	0	0	0
ensmusg00000103509	74	8	56	31	26	23	23	38	26
ensmusg00000048538	0	1	2	0	1	0	1	0	0
ensmusg00000103709	0	0	0	0	0	0	0	0	0
ensmusg00000077244	0	0	0	0	0	0	0	0	0
ensmusg00000102768	0	0	0	0	0	0	0	0	0
ensmusg00000097797	7	1	16	0	7	1	1	2	0
ensmusg00000103498	0	0	0	0	0	0	0	0	0
ensmusg00000103067	0	0	0	0	0	2	0	0	0
ensmusg00000102320	0	0	0	0	0	0	0	0	0
ensmusg00000104226	1	0	0	0	0	0	0	0	0
ensmusg00000103903	0	0	0	0	0	0	0	0	0
ensmusg00000103557	0	0	0	0	0	0	0	0	0
ensmusg00000025909	13	13	7	64	67	71	124	234	101
ensmusg00000102647	0	0	0	1	0	4	0	0	3
ensmusg00000086235	0	1	1	2	0	3	0	2	1
ensmusg00000102253	2	0	0	3	0	0	0	3	7
ensmusg00000093970	0	0	0	0	0	0	0	0	0
ensmusg00000103884	2	0	2	0	0	0	0	0	0
ensmusg00000084353	3	5	5	2	0	2	0	0	0
ensmusg00000103933	0	1	0	1	0	1	0	0	0
ensmusg00000076135	0	3	2	0	0	0	0	0	0
ensmusg00000086195	0	0	0	0	0	0	0	0	0
ensmusg00000104504	0	0	0	0	0	0	0	0	0
ensmusg00000066693	0	0	0	0	0	0	0	1	0
ensmusg00000102316	0	0	3	0	0	0	0	0	1
ensmusg00000103819	0	0	0	0	0	0	0	0	0
ensmusg00000102871	0	0	1	0	0	0	0	0	0
ensmusg00000101571	0	0	0	0	0	0	0	0	0
ensmusg00000104428	0	0	0	0	0	0	0	0	0
ensmusg00000102272	0	0	5	0	0	0	0	0	0
ensmusg00000065625	0	0	0	0	0	0	0	0	6
ensmusg00000103411	1	0	0	0	2	0	0	0	0
ensmusg00000061024	502	525	815	211	229	440	210	311	110
ensmusg00000025911	65	20	54	149	99	284	142	196	74
ensmusg00000079671	6	8	5	8	8	6	5	3	9
ensmusg00000081441	1	1	1	5	0	1	0	0	0
ensmusg00000067879	650	968	1139	257	315	670	148	200	130
ensmusg00000099827	0	0	0	0	0	0	1	0	0
ensmusg00000025912	581	477	747	332	110	237	492	644	151
ensmusg00000045210	1318	1095	1752	1218	1104	2738	1137	1532	965
ensmusg00000097893	8	1	4	5	1	12	7	4	2
ensmusg00000025915	45	78	129	41	37	65	45	60	26
ensmusg00000046334	0	1	3	0	4	0	0	0	0
ensmusg00000088916	2	0	0	0	0	0	0	0	0
ensmusg00000046101	3	3	18	9	3	15	2	4	5
ensmusg00000098234	43	53	62	14	44	37	14	23	11
ensmusg00000093178	77	99	100	97	64	120	168	101	109
ensmusg00000099032	0	0	2	15	7	0	2	0	10
ensmusg00000104025	0	0	0	0	0	0	0	0	0
ensmusg00000025916	1	0	1	54	26	17	70	51	62
ensmusg00000087199	0	0	0	0	0	0	0	0	0
ensmusg00000095780	0	0	0	0	0	0	0	0	0
ensmusg00000025917	717	859	1120	450	633	1054	406	566	427
ensmusg00000056763	1028	562	1170	1029	794	1485	954	1231	752
ensmusg00000102356	0	0	0	0	0	0	0	0	0
ensmusg00000067851	1926	1595	2340	1370	1192	2319	1614	2030	1187
ensmusg00000088153	0	0	0	0	0	0	0	0	0
ensmusg00000102556	29	7	29	5	1	3	15	16	5
ensmusg00000042501	1	0	0	0	0	0	0	1	5
ensmusg00000103810	0	0	0	0	0	0	4	0	0
ensmusg00000083422	0	0	0	0	0	2	1	0	0
