Base   Mean    Median  LowerQuartile  UpperQuartile  10thPercentile 90thPercentile
1       32.21725708301407       34.0    31.0    34.0    30.0    34.0
2       32.464601291576805      34.0    31.0    34.0    31.0    34.0
3       32.48756665231384       34.0    31.0    34.0    30.0    34.0
4       36.04468797983429       37.0    35.0    37.0    35.0    37.0
5       36.06411405340068       37.0    35.0    37.0    35.0    37.0
6       36.06172336794041       37.0    35.0    37.0    35.0    37.0
7       36.052708841620934      37.0    35.0    37.0    35.0    37.0
8       36.044970658666635      37.0    35.0    37.0    35.0    37.0
9       37.77875442671996       39.0    38.0    39.0    35.0    39.0
10      37.734939618887765      39.0    38.0    39.0    35.0    39.0
11      37.71431130091526       39.0    38.0    39.0    35.0    39.0
12      37.713240017712536      39.0    38.0    39.0    35.0    39.0
13      37.72643743253262       39.0    38.0    39.0    35.0    39.0
14      39.17766440681357       40.0    39.0    41.0    36.0    41.0
15      39.18166895781613       40.0    39.0    41.0    36.0    41.0
16      39.17519831483811       40.0    39.0    41.0    36.0    41.0
17      39.149353612712 40.0    39.0    41.0    36.0    41.0
18      39.122679179874645      40.0    39.0    41.0    36.0    41.0
19      39.20170061078948       40.0    39.0    41.0    36.0    41.0
20      39.21150992153236       40.0    39.0    41.0    36.0    41.0
21      39.18864317026407       40.0    39.0    41.0    36.0    41.0
22      39.16191931344981       40.0    39.0    41.0    36.0    41.0
23      39.11055002196386       40.0    39.0    41.0    36.0    41.0
24      39.10472502388623       40.0    39.0    41.0    36.0    41.0
25      39.106815982942756      40.0    39.0    41.0    36.0    41.0
26      39.05316224698784       40.0    39.0    41.0    36.0    41.0
27      38.99484554795457       40.0    39.0    41.0    36.0    41.0
28      38.96733786058333       40.0    39.0    41.0    36.0    41.0
29      38.946445848013205      40.0    39.0    41.0    36.0    41.0
30      38.92800548262396       40.0    39.0    41.0    36.0    41.0
31      38.853881803348685      40.0    39.0    41.0    35.0    41.0
32      38.81219668372763       40.0    38.0    41.0    35.0    41.0
33      38.786314411977806      40.0    38.0    41.0    35.0    41.0
34      38.75452847908028       40.0    38.0    41.0    35.0    41.0
35      38.75241333845901       40.0    38.0    41.0    35.0    41.0
36      38.68479188909941       40.0    38.0    41.0    35.0    41.0
37      38.67825539956845       40.0    38.0    41.0    35.0    41.0
38      38.665657359431435      40.0    38.0    41.0    35.0    41.0
39      38.658520056083304      40.0    38.0    41.0    35.0    41.0
40      38.620749812962934      40.0    38.0    41.0    35.0    41.0
41      38.599733500324426      40.0    38.0    41.0    35.0    41.0
42      38.557143625875426      40.0    38.0    41.0    35.0    41.0
43      38.54197644353754       40.0    38.0    41.0    35.0    41.0
44      38.53728179483805       40.0    38.0    41.0    35.0    41.0
45      38.44192659069867       40.0    38.0    41.0    34.0    41.0
46      38.408481846044914      40.0    38.0    41.0    34.0    41.0
47      38.386925545620045      40.0    38.0    41.0    34.0    41.0
48      38.32979003851686       40.0    38.0    41.0    34.0    41.0
49      38.28152496340313       40.0    38.0    41.0    34.0    41.0
50      38.24060252317955       40.0    38.0    41.0    34.0    41.0
51      37.63952959607449       40.0    37.0    41.0    33.0    41.0

