	mouse1	mouse2	mouse3	mouse4	mouse5	mouse6	mouse1	mouse2	mouse3	mouse4	mouse5	mouse6
day6	10.752	13.0355	10.478	42.336	11.25		15.376	42.525	37.926	44.982	6.048	
day7	30.492	18.144	11.368	53.958	11.7	29.16	31.744	139.392	45.494	60.84	10	47.628
day8	52.9515	21.386	17.298	53.792	26.0555	48.8	50.4	281.048	52.992	159.744	28.577	79.3305
day9	87.48	28.899	25.992	84.5325	41.624	91.854	84.27	438.048	145.656	362.4	99.144	194.5085
day10	65.664	33.6	39.69	110.466	81.675	123.008	84.564	499.0005	229.992	430.612	142.228	198.45
day11	63.5	15.4	31.2	143.7	87.8	129	94.2	764	305.9	806.7	159	227.3
day12	55.6	26.6	46.6	227.3	100.7	154.9	124.9		296.4		235.9	285.8
day13	60	12	65.6	241.9	148	152.6	131.1		340.6		287.6	321
day14	109.6	5.2	56.7	310	115.2	166.6	148.1		397.8		520.3	409.1
day15	127.8	21.2	124.9	386	81.7	186.3	181.3		525.4		525.4	455.1
day16	158.4	62	176.1	540.7	19.4	241.1	210.9		509.7		562.3	534.2
day17	202.4	81.7	289		16.2	561.8	236.8		551.6		612.4	685.4
day18	269	125.7	375.6		11.7		368.3		807.4		819.9	
day19	337.5	184	477.1		12.2		695					
day20		222.3	759.8		29.6							
day21		255.5			74.4							
day22		499.8			164.7							
day23		503.7			344.7							
day24		799.3			319.4							
day25					384.6							
day26					461.7							
day27					595							
