	mouse1	mouse2	mouse3	mouse4	mouse5	mouse6	mouse7	mouse8	mouse9	mouse10	mouse11	mouse12	mouse1	mouse2	mouse3	mouse4	mouse5	mouse6	mouse7	mouse8	mouse9	mouse10	mouse11	mouse12
day4	0	4	1.5	24.5	0	0	0.5	0	7	0	0	0.5	0	0.5	0	0	6	0	0	0	0	6	4	6
day5	4	5	7.8	50.625	0	0	32	6	16.65	0	6	0	0	4	0	0	35.2	0	0	0	6	67.5	25.3265	12.544
day6	6.8	32.0	40.0	73.7	16.2	6.0	42.6	33.6	34.4	0.0	14.4	4.0	0.0	5.7	4.0	33.6	39.5	0.5	27.4	0.0	34.4	72.5	44.5	27.4
day7	115.2	39.8	65.0	108.8	73.8	75.0	78.7	116.1	40.0	0.0	14.4	4.2	0.0	36.0	17.6	83.8	59.2	17.1	66.3	0.0	36.0	92.3	35.2	32.0
day10	171.5	200.8	261.1	183.8	288.0	144.0	87.8	137.3	161.8	210.9	67.5	55.3	4.0	157.2	40.0	171.0	115.0	72.5	307.1	75.0	71.1	135.0	141.5	83.2
day11	252.9	310.0	271.1	208.1	288.0	210.7	179.0	161.8	202.6	288.0	50.6	97.6	4.0	104.4	75.0	235.2	125.1	97.6	329.3	108.0	113.1	155.6	181.3	118.8
day12	388.8	376.36	449.55	321.489	496.375	396.9	219.375	222.95	202.5	392.85	149.45	137.3125	13.5	215.982	188.65	237.65	191.1	97.556	352.4845	275.684	164.15	154.791	281.6	210.9375
day13	485.1495	488.766	650	369.8	600	432.45	256	345.6	364.5	661.5	183.75	210.9375	13.5	265.7205	456.3365	443.576	268.8	272	402.1785	400.95	208	275.6985	364.5	246.0375
day14	526.904	748.8		564.54		469.3	352.4845	600	485.1495		207.831	307.0625	21.4375	340.736	485.1495	510.291	320	364.5	456.3365	414.05	245.9925	316.8	500	285.8935
day16						864			864		376.65	864	62.5	470.016	500		568	515	629.856	665.5	313.632	590	713.9	307.0625
day17											600		62.5	500	578.8125			864	936	1098.5	324			450
day18													70.304	578.8125	629.856						324			655.2
day19													70.304	578.8125	629.856						324			655.2
day20													157.216	864							480			
day21													176.4								594.05			
